,auc,f1,acc,bacc,precision,sensitivity,specificity,avgprec,brier,ece,mce,layers
model-positive-15-adamw-lc2-2021-10-05-without-lambdas,0.9078484966809841,0.732876712328767,0.8581818181818182,0.8061466874918651,0.7867647058823529,0.6858974358974359,0.9263959390862944,0.834876987867424,0.1083529896635321,0.0725924756581133,0.1994961608539928,2
model-positive-11-adamw-lc3-2021-10-05-without-lambdas,0.9152674736431082,0.7622377622377623,0.8763636363636363,0.8227092281660809,0.8384615384615385,0.6987179487179487,0.9467005076142132,0.8522863860456245,0.10185241961899882,0.07287462872199038,0.3334378997484843,3
model-positive-11-adamw-lc3-2021-10-05-without-soft-label,0.7745834960301965,0.0,0.7163636363636363,0.5,0.0,0.0,1.0,0.6532486077333073,0.20971574116749583,0.14839057326316832,0.2731438875198364,3
model-positive-11-adamw-lc3-2021-10-05-without-flood-penalty,0.9159019914096056,0.7665505226480835,0.8781818181818182,0.8259143563712092,0.8396946564885496,0.7051282051282052,0.9467005076142132,0.8507292939256832,0.10134182595030647,0.0679716349223798,0.31568966309229535,3
model-positive-11-adamw-lc3-2021-10-05-without-soft-label-slope,0.9197090980085904,0.5233644859813085,0.8145454545454546,0.6769491084211896,0.9655172413793104,0.358974358974359,0.9949238578680203,0.8456718665484066,0.15805344502810353,0.17117246134291322,0.6274752782450782,3
model-positive-11-adamw-lc3-2021-10-05-without-wd,0.915625406742158,0.7578947368421053,0.8745454545454545,0.8195040999609527,0.8372093023255814,0.6923076923076923,0.9467005076142132,0.851685662872931,0.10222433707805523,0.06969814232465896,0.46622222661972046,3
model-positive-11-adamw-lc3-2021-10-05-without-dropout,0.909117532213979,0.7087719298245614,0.8490909090909091,0.7881849537940908,0.7829457364341085,0.6474358974358975,0.9289340101522843,0.8229208725012638,0.10358365834854308,0.028640060025182643,0.10168403181536445,3
model-positive-17-adamw-lc4-2021-10-05-without-soft-label-slope,0.8485942991019133,0.4811320754716981,0.8,0.6571163607965639,0.9107142857142857,0.3269230769230769,0.9873096446700508,0.7340592742686984,0.1736785166353627,0.17738088941201566,0.4400902287318156,4
model-positive-17-adamw-lc4-2021-10-05-without-flood-penalty,0.9033906026291814,0.7533333333333333,0.8654545454545455,0.8228393856566445,0.7847222222222222,0.7243589743589743,0.9213197969543148,0.8393350913073145,0.10557942756519315,0.06396449546583674,0.36991766782907337,4
model-positive-17-adamw-lc4-2021-10-05-without-lambdas,0.9080355980736691,0.76,0.8690909090909091,0.8273135493947676,0.7916666666666666,0.7307692307692307,0.9238578680203046,0.8409845993508396,0.10514492862653696,0.07127338850024072,0.5072070956230164,4
model-positive-17-adamw-lc4-2021-10-05-without-wd,0.9028374332942861,0.7524752475247524,0.8636363636363636,0.8235064427957829,0.7755102040816326,0.7307692307692307,0.916243654822335,0.8366373637833644,0.10636095820213877,0.07023347887125882,0.4288421736823188,4
model-positive-17-adamw-lc4-2021-10-05-without-soft-label,0.8619354418846804,0.6891385767790261,0.8490909090909091,0.7707601197448913,0.8288288288288288,0.5897435897435898,0.9517766497461929,0.7864909115307026,0.14569200693724393,0.13401094120334497,0.39397919178009033,4
model-positive-17-adamw-lc4-2021-10-05-without-dropout,0.9012430040348822,0.7067137809187279,0.8490909090909091,0.7862488611219576,0.7874015748031497,0.6410256410256411,0.9314720812182741,0.8125715223338212,0.10768960210592154,0.0449488299001347,0.1608961781729823,4
model-positive-7-adamw-lc5-2021-10-05-without-soft-label,0.9331966679682416,0.7453874538745386,0.8745454545454545,0.8059514512560197,0.8782608695652174,0.6474358974358975,0.9644670050761421,0.8757188449743462,0.09454905785066518,0.06489634405313568,0.2437475740909576,5
model-positive-7-adamw-lc5-2021-10-05-without-dropout,0.9087433294286087,0.721189591078067,0.8636363636363636,0.7905928673695171,0.8584070796460177,0.6217948717948718,0.9593908629441624,0.8269023364954504,0.10570541526040937,0.05237253397025845,0.27194876361776277,5
model-positive-7-adamw-lc5-2021-10-05-without-wd,0.9326597683196669,0.7272727272727274,0.8636363636363636,0.796401145385917,0.8403361344537815,0.6410256410256411,0.9517766497461929,0.8727347582826889,0.09685495832386697,0.07469097537073223,0.4328409603663853,5
model-positive-7-adamw-lc5-2021-10-05-without-flood-penalty,0.934888715345568,0.7318840579710145,0.8654545454545455,0.7996062735910452,0.8416666666666667,0.6474358974358975,0.9517766497461929,0.8759014499359208,0.09401537487383954,0.07329275314103473,0.4511712670326233,5
model-positive-7-adamw-lc5-2021-10-05-without-lambdas,0.9311304178055447,0.7246376811594204,0.8618181818181818,0.795132109852922,0.8333333333333334,0.6410256410256411,0.949238578680203,0.8714892766598514,0.09568762270112122,0.08116344350305471,0.3976347087060704,5
model-positive-7-adamw-lc5-2021-10-05-without-soft-label-slope,0.9392327215931277,0.6882591093117407,0.86,0.7648216842379278,0.9340659340659341,0.5448717948717948,0.9847715736040609,0.8737988021576162,0.11363989508815553,0.10659845074977387,0.47521535374901513,5
model-positive-12-adamw-lc6-2021-10-05-without-dropout,0.9008850709358324,0.7058823529411764,0.8454545454545455,0.7875829754002344,0.7669172932330827,0.6538461538461539,0.9213197969543148,0.8138818592449221,0.10712341203440871,0.03419919454238631,0.13704239880597147,6
model-positive-12-adamw-lc6-2021-10-05-without-wd,0.9277300533645711,0.7655172413793104,0.8763636363636363,0.8265814135103475,0.8283582089552238,0.7115384615384616,0.9416243654822335,0.8509882206744762,0.09648591131998,0.04888692358170044,0.2471175193786621,6
model-positive-12-adamw-lc6-2021-10-05-without-lambdas,0.9277951321098529,0.7586206896551725,0.8727272727272727,0.8221072497722244,0.8208955223880597,0.7051282051282052,0.9390862944162437,0.8505032997202856,0.09723708004348362,0.04880026134916328,0.12933572314002295,6
model-positive-12-adamw-lc6-2021-10-05-without-flood-penalty,0.9277625927372121,0.7560137457044673,0.8709090909090909,0.8208382142392294,0.8148148148148148,0.7051282051282052,0.9365482233502538,0.8517706841858773,0.09715012797534975,0.04692170929502358,0.20147575302557508,6
model-positive-12-adamw-lc6-2021-10-05-without-soft-label-slope,0.9195626708317064,0.5302325581395348,0.8163636363636364,0.6801542366263178,0.9661016949152542,0.36538461538461536,0.9949238578680203,0.8378613910014503,0.15436410951622204,0.16715981480750172,0.5444517665439181,6
model-positive-12-adamw-lc6-2021-10-05-without-soft-label,0.8922784068723154,0.6798418972332017,0.8527272727272728,0.7616816347780815,0.8865979381443299,0.5512820512820513,0.9720812182741116,0.8308577035708226,0.11598964468648164,0.0756331471692432,0.3156491297262686,6
model-positive-21-adamw-lc7-2021-10-05-without-flood-penalty,0.9253058701028244,0.767123287671233,0.8763636363636363,0.8285175061824808,0.8235294117647058,0.717948717948718,0.9390862944162437,0.8516691682119785,0.09940002878928389,0.05951419320296158,0.22154680365010315,7
model-positive-21-adamw-lc7-2021-10-05-without-soft-label-slope,0.8827281010022126,0.39795918367346933,0.7854545454545454,0.623730964467005,0.975,0.25,0.9974619289340102,0.7892427595601448,0.18487424514021958,0.2017223586548458,0.5909156401952108,7
model-positive-21-adamw-lc7-2021-10-05-without-wd,0.9248503188858519,0.7526132404181185,0.8709090909090909,0.816966028894963,0.8244274809160306,0.6923076923076923,0.9416243654822335,0.8490057054873225,0.1008134040028035,0.055435491766441955,0.1962707307603624,7
model-positive-21-adamw-lc7-2021-10-05-without-soft-label,0.8881621762332422,0.6180257510729614,0.8381818181818181,0.7244240531042562,0.935064935064935,0.46153846153846156,0.9873096446700508,0.8199988225991097,0.12149787661933531,0.07641861231489615,0.3075344458870266,7
model-positive-21-adamw-lc7-2021-10-05-without-lambdas,0.9256963425745152,0.767123287671233,0.8763636363636363,0.8285175061824808,0.8235294117647058,0.717948717948718,0.9390862944162437,0.8506001681545181,0.09935331769817739,0.059908674652264876,0.24609601497650146,7
model-positive-21-adamw-lc7-2021-10-05-without-dropout,0.904252896004165,0.7147766323024054,0.8490909090909091,0.7939932318104908,0.7703703703703704,0.6666666666666666,0.9213197969543148,0.8234104407050643,0.1040522766597458,0.03509589775719426,0.14887881875038145,7
